loss,val_loss
0.0457455152363,0.0291717431903
0.0268658929636,0.0245529725611
0.0238944339633,0.0228902078569
0.0226391183337,0.0220180707008
0.0217662264168,0.0212705125928
0.0210649823427,0.0206956500739
0.0204524530739,0.0200494774699
0.0199213244309,0.0196743801624
0.0194308213383,0.0192959770501
0.0189092362275,0.0188368588045
0.0184146712373,0.0184860518321
0.0180266133199,0.0183033952251
0.0177284749558,0.0180265356183
0.0174755180399,0.0178394455045
0.0172523139924,0.0176281216845
0.0169808377852,0.0173555468708
0.0167102475464,0.0172961920977
0.0164623179356,0.0171469091386
0.0162938186834,0.0169347552955
0.01612953221,0.0168698247254
